,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,133,4810,3325.0,367.5,False,,260.0,767
1,193,6998,3115.0,542.5,False,,230.0,767
2,201,8539,3132.5,665.0,False,,228.0,767
3,245,7219,3132.5,560.0,False,,230.0,767
4,249,8758,3115.0,682.5,False,,228.0,767
5,521,5029,3307.5,385.0,False,,260.0,767
6,549,4809,3307.5,367.5,False,,260.0,767
7,557,7218,3115.0,560.0,False,,230.0,767
8,577,5030,3325.0,385.0,False,,260.0,767
9,585,8759,3132.5,682.5,False,,228.0,767
10,709,6999,3132.5,542.5,False,,230.0,767
11,901,8474,1995.0,665.0,False,,6.0,767
12,937,7814,1995.0,612.5,False,,7.0,767
13,981,8473,1977.5,665.0,True,17.0,6.0,767
14,996,7813,1977.5,612.5,False,,7.0,767
