channel,electrode,x,y,stim,stim_unit,pad_id
390,20515,962.5,1627.5,False,,1433.0
538,19635,962.5,1557.5,False,,1434.0
542,20734,945.0,1645.0,False,,1433.0
586,18974,945.0,1505.0,False,,1435.0
590,19854,945.0,1575.0,False,,1434.0
622,17435,962.5,1382.5,False,,1437.0
626,18315,962.5,1452.5,False,,1436.0
678,18975,962.5,1505.0,True,13,1435.0
682,20514,945.0,1627.5,False,,1433.0
686,17434,945.0,1382.5,False,,1437.0
694,18314,945.0,1452.5,False,,1436.0
742,19194,945.0,1522.5,False,,1435.0
750,17654,945.0,1400.0,False,,1437.0
