channel,electrode,x,y,stim,stim_unit,pad_id
389,5033,3377.5,385.0,False,,267.0
461,4812,3360.0,367.5,False,,267.0
521,4813,3377.5,367.5,False,,267.0
557,5032,3360.0,385.0,False,,267.0
829,12433,1977.5,980.0,False,,1.0
861,13094,1995.0,1032.5,False,,0.0
949,13093,1977.5,1032.5,False,,0.0
952,13091,1942.5,1032.5,True,16,
961,12214,1995.0,962.5,False,,1.0
965,12434,1995.0,980.0,False,,1.0
968,12874,1995.0,1015.0,False,,0.0
