channel,electrode,x,y,stim,stim_unit,pad_id
22,16115,962.5,1277.5,False,,1439.0
586,18974,945.0,1505.0,False,,1435.0
622,17654,945.0,1400.0,True,12,1437.0
626,18315,962.5,1452.5,False,,1436.0
658,18314,945.0,1452.5,False,,1436.0
678,18975,962.5,1505.0,False,,1435.0
686,17434,945.0,1382.5,False,,1437.0
690,19194,945.0,1522.5,False,,1435.0
694,15895,962.5,1260.0,False,,1439.0
726,16775,962.5,1330.0,False,,1438.0
742,16114,945.0,1277.5,False,,1439.0
750,17435,962.5,1382.5,False,,1437.0
754,16774,945.0,1330.0,False,,1438.0
