channel,electrode,x,y,stim,stim_unit,pad_id
75,21338,3815.0,1680.0,False,,495.0
79,21330,3675.0,1680.0,False,,493.0
83,21334,3745.0,1680.0,False,,494.0
87,21557,3797.5,1697.5,False,,495.0
95,21553,3727.5,1697.5,False,,494.0
159,21333,3727.5,1680.0,True,26,494.0
163,21331,3692.5,1680.0,False,,493.0
167,21337,3797.5,1680.0,False,,495.0
199,21983,3552.5,1732.5,False,,496.0
223,21326,3605.0,1680.0,False,,492.0
307,21327,3622.5,1680.0,False,,492.0
407,21547,3622.5,1697.5,False,,492.0
427,22203,3552.5,1750.0,False,,496.0
439,21984,3570.0,1732.5,False,,496.0
451,21546,3605.0,1697.5,False,,492.0
479,21550,3675.0,1697.5,False,,493.0
507,21554,3745.0,1697.5,False,,494.0
515,22204,3570.0,1750.0,False,,496.0
