channel,electrode,x,y,stim,stim_unit,pad_id
201,8539,3132.5,665.0,False,,228.0
249,8758,3115.0,682.5,False,,228.0
557,1726,3255.0,122.5,False,,257.0
565,1946,3255.0,140.0,False,,257.0
569,1945,3237.5,140.0,True,20,257.0
585,8759,3132.5,682.5,False,,228.0
765,1947,3272.5,140.0,False,,257.0
809,7153,1977.5,560.0,False,,8.0
865,5613,1977.5,437.5,False,,10.0
933,6934,1995.0,542.5,False,,8.0
936,5614,1995.0,437.5,False,,10.0
937,4734,1995.0,367.5,False,,11.0
944,7154,1995.0,560.0,False,,8.0
977,5394,1995.0,420.0,False,,10.0
