channel,electrode,x,y,stim,stim_unit,pad_id
74,16766,805.0,1330.0,False,,1412.0
102,17646,805.0,1400.0,False,,1411.0
526,25130,875.0,1995.0,False,,1414.0
530,26010,875.0,2065.0,False,,1413.0
538,24911,892.5,1977.5,False,,1414.0
542,25791,892.5,2047.5,False,,1413.0
578,17427,822.5,1382.5,False,,1411.0
638,16767,822.5,1330.0,True,12,1412.0
650,25131,892.5,1995.0,False,,1414.0
702,18306,805.0,1452.5,False,,1410.0
734,25790,875.0,2047.5,False,,1413.0
738,24910,875.0,1977.5,False,,1414.0
742,17426,805.0,1382.5,False,,1411.0
