channel,electrode,x,y,stim,stim_unit,pad_id
804,7793,1627.5,612.5,False,,872.0
848,7792,1610.0,612.5,False,,872.0
860,7573,1627.5,595.0,False,,872.0
864,10873,1627.5,857.5,False,,868.0
909,9992,1610.0,787.5,False,,869.0
924,8453,1627.5,665.0,False,,871.0
928,10872,1610.0,857.5,False,,868.0
956,9333,1627.5,735.0,False,,870.0
960,8672,1610.0,682.5,False,,871.0
968,9993,1627.5,787.5,False,,869.0
972,9113,1627.5,717.5,True,16,870.0
984,9332,1610.0,735.0,False,,870.0
988,8452,1610.0,665.0,False,,871.0
