channel,electrode,x,y,stim,stim_unit,pad_id
698,21199,1382.5,1680.0,False,,1515.0
714,24278,1365.0,1925.0,False,,1511.0
786,23619,1382.5,1872.5,False,,1512.0
810,21198,1365.0,1680.0,False,,1515.0
814,22078,1365.0,1750.0,False,,1514.0
818,22958,1365.0,1820.0,False,,1513.0
830,22739,1382.5,1802.5,True,14,1513.0
838,21418,1365.0,1697.5,False,,1515.0
874,24498,1365.0,1942.5,False,,1511.0
994,24279,1382.5,1925.0,False,,1511.0
998,23618,1365.0,1872.5,False,,1512.0
1002,22738,1365.0,1802.5,False,,1513.0
