channel,electrode,x,y,stim,stim_unit,pad_id
42,14588,1190.0,1155.0,False,,1490.0
654,24493,1277.5,1942.5,False,,1494.0
666,15248,1190.0,1207.5,False,,1489.0
706,13709,1207.5,1085.0,True,13,1491.0
738,25154,1295.0,1995.0,False,,1493.0
742,24274,1295.0,1925.0,False,,1494.0
754,14589,1207.5,1155.0,False,,1490.0
798,24273,1277.5,1925.0,False,,1494.0
802,25153,1277.5,1995.0,False,,1493.0
808,15249,1207.5,1207.5,False,,1489.0
812,13708,1190.0,1085.0,False,,1491.0
816,14369,1207.5,1137.5,False,,1490.0
