channel,electrode,x,y,stim,stim_unit,pad_id
107,22193,3377.5,1750.0,False,,546.0
307,21313,3377.5,1680.0,False,,547.0
439,24610,3325.0,1942.5,False,,550.0
451,21532,3360.0,1697.5,False,,547.0
455,22412,3360.0,1767.5,False,,546.0
531,21753,3377.5,1715.0,False,,547.0
535,21533,3377.5,1697.5,False,,547.0
539,25930,3325.0,2047.5,True,28,548.0
543,22413,3377.5,1767.5,False,,546.0
547,24389,3307.5,1925.0,False,,550.0
551,26149,3307.5,2065.0,False,,548.0
555,25269,3307.5,1995.0,False,,549.0
587,22192,3360.0,1750.0,False,,546.0
599,25489,3307.5,2012.5,False,,549.0
603,24390,3325.0,1925.0,False,,550.0
723,25270,3325.0,1995.0,False,,549.0
731,24609,3307.5,1942.5,False,,550.0
763,25049,3307.5,1977.5,False,,549.0
