channel,electrode,x,y,stim,stim_unit,pad_id
143,24383,3202.5,1925.0,False,,566.0
391,23722,3185.0,1872.5,False,,567.0
395,24602,3185.0,1942.5,False,,566.0
399,22842,3185.0,1802.5,True,27,568.0
555,21303,3202.5,1680.0,False,,570.0
587,22402,3185.0,1767.5,False,,569.0
591,21522,3185.0,1697.5,False,,570.0
599,22843,3202.5,1802.5,False,,568.0
607,21302,3185.0,1680.0,False,,570.0
615,22182,3185.0,1750.0,False,,569.0
631,23723,3202.5,1872.5,False,,567.0
635,21523,3202.5,1697.5,False,,570.0
675,24382,3185.0,1925.0,False,,566.0
695,22183,3202.5,1750.0,False,,569.0
731,24603,3202.5,1942.5,False,,566.0
759,23502,3185.0,1855.0,False,,567.0
763,23062,3185.0,1820.0,False,,568.0
767,23942,3185.0,1890.0,False,,567.0
