channel,electrode,x,y,stim,stim_unit,pad_id
39,17555,3062.5,1382.5,False,,597.0
51,17774,3045.0,1400.0,False,,597.0
67,18435,3062.5,1452.5,False,,596.0
79,18654,3045.0,1470.0,False,,596.0
95,19315,3062.5,1522.5,False,,595.0
107,17554,3045.0,1382.5,False,,597.0
123,18434,3045.0,1452.5,False,,596.0
203,20855,3062.5,1645.0,False,,593.0
207,20194,3045.0,1592.5,False,,594.0
219,19975,3062.5,1575.0,False,,594.0
235,19314,3045.0,1522.5,False,,595.0
247,19095,3062.5,1505.0,False,,595.0
603,20634,3045.0,1627.5,False,,593.0
667,19094,3045.0,1505.0,True,29,595.0
723,18655,3062.5,1470.0,False,,596.0
751,20854,3045.0,1645.0,False,,593.0
763,20635,3062.5,1627.5,False,,593.0
767,17775,3062.5,1400.0,False,,597.0
791,19974,3045.0,1575.0,False,,594.0
