channel,electrode,x,y,stim,stim_unit,pad_id
808,3178,1715.0,245.0,False,,861.0
812,1637,1697.5,122.5,False,,863.0
816,2517,1697.5,192.5,False,,862.0
820,13073,1627.5,1032.5,False,,865.0
854,13072,1610.0,1032.5,False,,865.0
890,12853,1627.5,1015.0,False,,865.0
921,1638,1715.0,122.5,False,,863.0
925,2518,1715.0,192.5,False,,862.0
956,1858,1715.0,140.0,False,,863.0
960,978,1715.0,70.0,False,,864.0
972,1857,1697.5,140.0,True,16,863.0
976,977,1697.5,70.0,False,,864.0
1004,3397,1697.5,262.5,False,,861.0
