channel,electrode,x,y,stim,stim_unit,pad_id
613,3462,2835.0,262.5,True,20,183.0
649,3461,2817.5,262.5,False,,183.0
685,5437,2747.5,420.0,False,,163.0
717,3241,2817.5,245.0,False,,183.0
725,5657,2747.5,437.5,False,,163.0
825,5656,2730.0,437.5,False,,163.0
849,3242,2835.0,245.0,False,,183.0
861,3213,2327.5,245.0,False,,81.0
865,10033,2327.5,787.5,False,,72.0
869,1894,2345.0,140.0,False,,83.0
885,1893,2327.5,140.0,False,,83.0
900,1892,2310.0,140.0,False,,83.0
901,1673,2327.5,122.5,False,,83.0
1001,3433,2327.5,262.5,False,,81.0
