channel,electrode,x,y,stim,stim_unit,pad_id
653,14668,2590.0,1155.0,False,,693.0
685,13788,2590.0,1085.0,False,,694.0
719,15547,2572.5,1225.0,False,,692.0
749,13787,2572.5,1085.0,False,,694.0
769,14007,2572.5,1102.5,False,,694.0
779,15328,2590.0,1207.5,False,,692.0
805,15327,2572.5,1207.5,False,,692.0
827,25882,2485.0,2047.5,False,,695.0
831,15988,2590.0,1260.0,False,,691.0
835,14667,2572.5,1155.0,True,30,693.0
879,16207,2572.5,1277.5,False,,691.0
963,25883,2502.5,2047.5,False,,695.0
995,15987,2572.5,1260.0,False,,691.0
