channel,electrode,x,y,stim,stim_unit,pad_id
663,24357,2747.5,1925.0,False,,646.0
667,25237,2747.5,1995.0,False,,645.0
675,24578,2765.0,1942.5,False,,646.0
683,25898,2765.0,2047.5,False,,644.0
697,14682,2835.0,1155.0,False,,642.0
705,13802,2835.0,1085.0,False,,643.0
755,25896,2730.0,2047.5,False,,644.0
787,25457,2747.5,2012.5,False,,645.0
795,25017,2747.5,1977.5,False,,645.0
799,24356,2730.0,1925.0,False,,646.0
823,24576,2730.0,1942.5,False,,646.0
835,14681,2817.5,1155.0,False,,642.0
843,25897,2747.5,2047.5,True,30,644.0
847,25236,2730.0,1995.0,False,,645.0
875,25238,2765.0,1995.0,False,,645.0
879,24577,2747.5,1942.5,False,,646.0
