channel,electrode,x,y,stim,stim_unit,pad_id
519,25251,2992.5,1995.0,False,,600.0
531,25470,2975.0,2012.5,False,,600.0
571,22830,2975.0,1802.5,False,,603.0
575,24590,2975.0,1942.5,False,,601.0
579,23710,2975.0,1872.5,False,,602.0
695,23930,2975.0,1890.0,False,,602.0
703,22831,2992.5,1802.5,False,,603.0
707,23711,2992.5,1872.5,False,,602.0
727,23050,2975.0,1820.0,False,,603.0
747,24371,2992.5,1925.0,True,29,601.0
751,25030,2975.0,1977.5,False,,600.0
755,25910,2975.0,2047.5,False,,599.0
787,25911,2992.5,2047.5,False,,599.0
799,26130,2975.0,2065.0,False,,599.0
803,25250,2975.0,1995.0,False,,600.0
807,24370,2975.0,1925.0,False,,601.0
