,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,17,6566,3255.0,507.5,False,,251.0,156
1,61,4806,3255.0,367.5,False,,253.0,156
2,173,6347,3272.5,490.0,False,,251.0,156
3,405,4807,3272.5,367.5,False,,253.0,156
4,525,4135,3062.5,315.0,False,,223.0,156
5,549,5025,3237.5,385.0,False,,253.0,156
6,577,4805,3237.5,367.5,False,,253.0,156
7,593,5026,3255.0,385.0,False,,253.0,156
8,633,3915,3062.5,297.5,False,,223.0,156
9,721,6567,3272.5,507.5,False,,251.0,156
10,737,4134,3045.0,315.0,True,19.0,223.0,156
11,761,6346,3255.0,490.0,False,,251.0,156
12,885,4075,2012.5,315.0,False,,12.0,156
13,917,1873,1977.5,140.0,False,,15.0,156
14,921,1874,1995.0,140.0,False,,15.0,156
15,929,1654,1995.0,122.5,False,,15.0,156
16,933,4073,1977.5,315.0,False,,12.0,156
17,969,3854,1995.0,297.5,False,,12.0,156
