,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,135,22416,3430.0,1767.5,False,,539.0,343
1,163,21536,3430.0,1697.5,True,26.0,540.0,343
2,191,21316,3430.0,1680.0,False,,540.0,343
3,399,22856,3430.0,1802.5,False,,538.0,343
4,451,26152,3360.0,2065.0,False,,541.0,343
5,455,25052,3360.0,1977.5,False,,542.0,343
6,459,25932,3360.0,2047.5,False,,541.0,343
7,523,26153,3377.5,2065.0,False,,541.0,343
8,527,25273,3377.5,1995.0,False,,542.0,343
9,559,22196,3430.0,1750.0,False,,539.0,343
10,563,21535,3412.5,1697.5,False,,540.0,343
11,567,23076,3430.0,1820.0,False,,538.0,343
12,615,25492,3360.0,2012.5,False,,542.0,343
13,619,25053,3377.5,1977.5,False,,542.0,343
14,631,25272,3360.0,1995.0,False,,542.0,343
