,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,1,14943,3552.5,1172.5,False,,416.0,1023
1,13,14724,3570.0,1155.0,False,,416.0,1023
2,15,14713,3377.5,1155.0,False,,413.0,1023
3,21,14716,3430.0,1155.0,False,,414.0,1023
4,23,14709,3307.5,1155.0,False,,412.0,1023
5,35,14937,3447.5,1172.5,True,24.0,414.0,1023
6,43,14723,3552.5,1155.0,False,,416.0,1023
7,49,14930,3325.0,1172.5,False,,412.0,1023
8,57,14934,3395.0,1172.5,False,,413.0,1023
9,61,14929,3307.5,1172.5,False,,412.0,1023
10,65,14721,3517.5,1155.0,False,,415.0,1023
11,73,14714,3395.0,1155.0,False,,413.0,1023
12,77,14710,3325.0,1155.0,False,,412.0,1023
13,119,14933,3377.5,1172.5,False,,413.0,1023
14,127,14940,3500.0,1172.5,False,,415.0,1023
15,255,14944,3570.0,1172.5,False,,416.0,1023
