,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,809,13778,2415.0,1085.0,True,18.0,728.0,767
1,853,14658,2415.0,1155.0,False,,727.0,767
2,883,26093,2327.5,2065.0,False,,729.0,767
3,887,25213,2327.5,1995.0,False,,730.0,767
4,931,25212,2310.0,1995.0,False,,730.0,767
5,935,25873,2327.5,2047.5,False,,729.0,767
6,938,15538,2415.0,1225.0,False,,726.0,767
7,943,24993,2327.5,1977.5,False,,730.0,767
8,947,15318,2415.0,1207.5,False,,726.0,767
9,955,14438,2415.0,1137.5,False,,727.0,767
10,983,14657,2397.5,1155.0,False,,727.0,767
