,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,154,19619,682.5,1557.5,False,,1386.0,703
1,162,20718,665.0,1645.0,False,,1385.0,703
2,190,19838,665.0,1575.0,False,,1386.0,703
3,258,20499,682.5,1627.5,False,,1385.0,703
4,394,21159,682.5,1680.0,False,,1384.0,703
5,398,23359,682.5,1855.0,False,,1381.0,703
6,446,20498,665.0,1627.5,False,,1385.0,703
7,554,23579,682.5,1872.5,False,,1381.0,703
8,578,21158,665.0,1680.0,True,12.0,1384.0,703
9,586,22699,682.5,1802.5,False,,1382.0,703
10,594,21378,665.0,1697.5,False,,1384.0,703
11,722,22698,665.0,1802.5,False,,1382.0,703
12,730,23578,665.0,1872.5,False,,1381.0,703
