,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,7,12280,3150.0,962.5,False,,404.0,1023
1,11,12503,3202.5,980.0,False,,403.0,1023
2,23,12513,3377.5,980.0,False,,400.0,1023
3,43,12499,3132.5,980.0,False,,404.0,1023
4,45,12290,3325.0,962.5,False,,401.0,1023
5,73,12286,3255.0,962.5,True,24.0,402.0,1023
6,77,12282,3185.0,962.5,False,,403.0,1023
7,81,12509,3307.5,980.0,False,,401.0,1023
8,97,12283,3202.5,962.5,False,,403.0,1023
9,121,12502,3185.0,980.0,False,,403.0,1023
10,201,12293,3377.5,962.5,False,,400.0,1023
11,217,12294,3395.0,962.5,False,,400.0,1023
12,233,12289,3307.5,962.5,False,,401.0,1023
13,241,12287,3272.5,962.5,False,,402.0,1023
14,245,12279,3132.5,962.5,False,,404.0,1023
15,253,12506,3255.0,980.0,False,,402.0,1023
