,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,66,15464,1120.0,1225.0,False,,1472.0,351
1,722,13924,1120.0,1102.5,False,,1474.0,351
2,726,24929,1207.5,1977.5,False,,1476.0,351
3,738,25148,1190.0,1995.0,False,,1476.0,351
4,758,25809,1207.5,2047.5,False,,1475.0,351
5,774,25149,1207.5,1995.0,False,,1476.0,351
6,784,13704,1120.0,1085.0,True,1.0,1474.0,351
7,862,25808,1190.0,2047.5,False,,1475.0,351
8,880,15244,1120.0,1207.5,False,,1472.0,351
9,888,14364,1120.0,1137.5,False,,1473.0,351
