,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,797,14424,2170.0,1137.5,False,,778.0,767
1,801,13763,2152.5,1085.0,False,,779.0,767
2,805,15304,2170.0,1207.5,False,,777.0,767
3,865,13764,2170.0,1085.0,True,18.0,779.0,767
4,883,26079,2082.5,2065.0,False,,780.0,767
5,935,15523,2152.5,1225.0,False,,777.0,767
6,943,14643,2152.5,1155.0,False,,778.0,767
7,947,25199,2082.5,1995.0,False,,781.0,767
8,951,25858,2065.0,2047.5,False,,780.0,767
9,974,25859,2082.5,2047.5,False,,780.0,767
10,978,24979,2082.5,1977.5,False,,781.0,767
11,983,15303,2152.5,1207.5,False,,777.0,767
12,986,26078,2065.0,2065.0,False,,780.0,767
13,990,25198,2065.0,1995.0,False,,781.0,767
14,1005,13983,2152.5,1102.5,False,,779.0,767
15,1021,14644,2170.0,1155.0,False,,778.0,767
