config,el,Unnamed: 0,electrode,stim_unit,pad_id,stim_unit_offset,imp_voltage_uV,imp_kOhm,imp_stim_ratio
el_config_pad0001,2,2,4813,,267.0,767,21.522770119801706,0.0,0.0010108009724308907
el_config_pad0001,3,3,5032,,267.0,767,13.660390176239686,0.0,0.0006415501163219075
el_config_pad0001,4,4,12433,18.0,1.0,767,21292.787311077936,106.46393655538968,1.0
el_config_pad0001,5,5,13094,,0.0,767,26.508665255429058,0.0,0.0012449598480532172
el_config_pad0001,6,6,13093,,0.0,767,32.02651259899337,0.0,0.0015041014654916048
el_config_pad0001,7,7,12214,,1.0,767,14.440205036326473,0.0,0.0006781735441847818
el_config_pad0001,8,8,12434,,1.0,767,13.923154554650848,0.0,0.0006538906509157253
el_config_pad0001,9,9,12874,,0.0,767,13.526643256801783,0.0,0.0006352687912194716
el_config_pad0002,0,0,5459,,232.0,767,11.325944406513031,0.0,0.000966090941077876
el_config_pad0002,1,1,5678,,232.0,767,19.787555198696204,0.0,0.0016878572891939824
el_config_pad0002,2,2,4139,,234.0,767,42.81378325802707,0.0,0.003651969908581415
el_config_pad0002,3,3,1950,,264.0,767,13.457343463842536,0.0,0.001147897000440471
el_config_pad0002,4,4,1730,,264.0,767,13.7176853434278,0.0,0.001170103884248401
el_config_pad0002,5,5,1949,,264.0,767,14.642349113377147,0.0,0.0012489767145950944
el_config_pad0002,6,6,3918,,234.0,767,25.958429711137804,0.0,0.0022142262833389588
el_config_pad0002,7,7,3919,,234.0,767,22.877447470700808,0.0,0.0019514217943467343
el_config_pad0002,8,8,5458,,232.0,767,15.748208553731459,0.0,0.0013433053417793656
el_config_pad0002,9,9,1729,,264.0,767,15.512757931554843,0.0,0.0013232216555990614
el_config_pad0002,10,10,4138,,234.0,767,20.676902956881825,0.0,0.0017637177015192422
el_config_pad0002,11,11,5679,,232.0,767,12.937003696869365,0.0,0.0011035125749910334
el_config_pad0002,12,12,10894,,3.0,767,17.250940888736324,0.0,0.0014714868022921114
el_config_pad0002,13,13,10674,,3.0,767,14.243118821892585,0.0,0.0012149227978386849
el_config_pad0002,14,14,11554,16.0,2.0,767,11723.476460587217,58.61738230293608,1.0
el_config_pad0002,15,15,10893,,3.0,767,20.096312602549663,0.0,0.0017141939654257692
el_config_pad0002,16,16,11553,,2.0,767,12.642296845401502,0.0,0.0010783743958460818
el_config_pad0003,0,0,5033,,267.0,383,29.527949701560953,0.0,0.00020092774227592133
el_config_pad0003,1,1,4139,,234.0,383,47.83753210208511,0.0,0.00032551827737690005
el_config_pad0003,2,2,4812,,267.0,383,40.60633607302452,0.0,0.00027631242642013875
el_config_pad0003,3,3,4813,,267.0,383,57.68908473582732,0.0,0.00039255477156686366
el_config_pad0003,4,4,1950,,264.0,383,29.705149537668248,0.0,0.00020213352741713688
el_config_pad0003,5,5,1730,,264.0,383,28.4734608319296,0.0,0.0001937523010423935
el_config_pad0003,6,6,1949,,264.0,383,16.992345092414364,0.0,0.00011562717933008608
el_config_pad0003,7,7,5032,,267.0,383,33.93069688609744,0.0,0.00023088695246632003
el_config_pad0003,8,8,3918,,234.0,383,27.841591023352674,0.0,0.00018945264003196552
el_config_pad0003,9,9,3919,,234.0,383,30.808534690591284,0.0,0.00020964169137292543
el_config_pad0003,10,10,1729,,264.0,383,12.878384069922411,0.0,8.763306160721718e-05
el_config_pad0003,11,11,4138,,234.0,383,26.871441136822106,0.0,0.00018285109714327917
el_config_pad0003,12,12,10894,0.0,3.0,383,146958.05251726808,734.7902625863403,1.0
el_config_pad0003,13,13,10674,,3.0,383,80.66714967541968,0.0,0.0005489127563522999
el_config_pad0003,14,14,11554,,2.0,383,60.64584836945867,0.0,0.00041267455121135724
el_config_pad0003,15,15,10893,,3.0,383,96.03307726943008,0.0,0.000653472712957637
el_config_pad0003,16,16,11553,,2.0,383,39.2153948206394,0.0,0.0002668475401579744
el_config_pad0004,0,0,6998,,230.0,767,24.3772879821183,0.0,0.0002211795207960321
el_config_pad0004,1,1,5459,,232.0,767,19.414607418593185,0.0,0.00017615222695967786
el_config_pad0004,2,2,7219,,230.0,767,20.45360491675273,0.0,0.0001855792382383638
el_config_pad0004,3,3,5678,,232.0,767,27.019567129285186,0.0,0.0002451533950025646
el_config_pad0004,4,4,6999,,230.0,767,22.22681519438526,0.0,0.00020166789419406546
el_config_pad0004,5,5,3490,,262.0,767,27.116796485720446,0.0,0.00024603557445088684
el_config_pad0004,6,6,3269,,262.0,767,37.91492405239577,0.0,0.0003440089290932737
el_config_pad0004,7,7,5458,,232.0,767,12.709033907053858,0.0,0.00011531135175515253
el_config_pad0004,8,8,3489,,262.0,767,21.397649088223027,0.0,0.00019414472089620714
el_config_pad0004,9,9,5679,,232.0,767,40.681093196784495,0.0,0.0003691068795398313
el_config_pad0004,10,10,7218,,230.0,767,20.366062740064383,0.0,0.00018478495231518917
el_config_pad0004,11,11,3270,,262.0,767,19.90562358425619,0.0,0.0001806073049939577
el_config_pad0004,12,12,9354,,5.0,767,36.65640716861168,0.0,0.0003325901789241299
el_config_pad0004,13,13,10013,,4.0,767,118.57061774565251,0.0,0.0010758125527626486
el_config_pad0004,14,14,9353,,5.0,767,57.23547156558627,0.0,0.000519307733604222
el_config_pad0004,15,15,9134,,5.0,767,1384.2879398741654,0.0,0.012559893594795559
el_config_pad0004,16,16,10014,17.0,4.0,767,110214.94166541129,551.0747083270563,1.0
el_config_pad0005,0,0,5459,,232.0,767,13.85027107861574,0.0,0.001214875118947662
el_config_pad0005,1,1,5678,,232.0,767,13.819376405311582,0.0,0.0012121651958210897
el_config_pad0005,2,2,3490,,262.0,767,16.231246766822007,0.0,0.0014237221592692858
el_config_pad0005,3,3,3269,,262.0,767,35.00450529348942,0.0,0.00307041662150502
el_config_pad0005,4,4,1950,,264.0,767,12.317934983619663,0.0,0.0010804664142292117
el_config_pad0005,5,5,1730,,264.0,767,12.455870497685268,0.0,0.0010925654138160348
el_config_pad0005,6,6,1949,,264.0,767,12.912480583183745,0.0,0.0011326169210236544
el_config_pad0005,7,7,3489,,262.0,767,14.403245816470609,0.0,0.0012633792418354594
el_config_pad0005,8,8,5679,,232.0,767,41.31553663709927,0.0,0.0036239880939138275
el_config_pad0005,9,9,1729,,264.0,767,14.954970498472674,0.0,0.0013117737162012717
el_config_pad0005,10,10,3270,,262.0,767,17.569950853290106,0.0,0.0015411464520540446
el_config_pad0005,11,11,5458,,232.0,767,19.010303429844843,0.0,0.00166748683180807
el_config_pad0005,12,12,9354,16.0,5.0,767,11400.571846934354,57.00285923467176,1.0
el_config_pad0005,13,13,10013,,4.0,767,42.80266986024673,0.0,0.003754431833325667
el_config_pad0005,14,14,9353,,5.0,767,37.23788236482414,0.0,0.0032663170641600327
el_config_pad0005,15,15,9134,,5.0,767,16.671559687353582,0.0,0.0014623441623094206
