,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,549,8742,2835.0,682.5,False,,176.0,767
1,585,3466,2905.0,262.5,False,,198.0,767
2,677,8522,2835.0,665.0,False,,176.0,767
3,685,5006,2905.0,385.0,False,,196.0,767
4,713,8741,2817.5,682.5,False,,176.0,767
5,721,3467,2922.5,262.5,False,,198.0,767
6,729,3247,2922.5,245.0,False,,198.0,767
7,741,4786,2905.0,367.5,False,,196.0,767
8,757,8521,2817.5,665.0,False,,176.0,767
9,809,12452,2310.0,980.0,True,18.0,69.0,767
10,821,3246,2905.0,245.0,False,,198.0,767
11,853,12453,2327.5,980.0,False,,69.0,767
12,893,5628,2240.0,437.5,False,,61.0,767
13,896,5408,2240.0,420.0,False,,61.0,767
14,925,5629,2257.5,437.5,False,,61.0,767
15,933,12233,2327.5,962.5,False,,69.0,767
16,1017,4787,2922.5,367.5,False,,196.0,767
