,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,105,7215,3062.5,560.0,False,,219.0,767
1,201,6994,3045.0,542.5,False,,219.0,767
2,401,1722,3185.0,122.5,False,,248.0,767
3,409,3482,3185.0,262.5,False,,246.0,767
4,581,1723,3202.5,122.5,False,,248.0,767
5,585,3483,3202.5,262.5,False,,246.0,767
6,589,3263,3202.5,245.0,False,,246.0,767
7,617,3262,3185.0,245.0,False,,246.0,767
8,621,7214,3045.0,560.0,False,,219.0,767
9,673,1942,3185.0,140.0,False,,248.0,767
10,693,6995,3062.5,542.5,False,,219.0,767
11,737,1943,3202.5,140.0,False,,248.0,767
12,797,13098,2065.0,1032.5,False,,17.0,767
13,897,10679,2082.5,840.0,True,16.0,20.0,767
14,933,10898,2065.0,857.5,False,,20.0,767
15,981,12879,2082.5,1015.0,False,,17.0,767
16,1021,13099,2082.5,1032.5,False,,17.0,767
