,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,791,16857,2397.5,1330.0,False,,724.0,703
1,839,15538,2415.0,1225.0,True,30.0,726.0,703
2,845,13778,2415.0,1085.0,False,,728.0,703
3,853,14658,2415.0,1155.0,False,,727.0,703
4,857,15978,2415.0,1260.0,False,,725.0,703
5,875,17078,2415.0,1347.5,False,,724.0,703
6,879,16198,2415.0,1277.5,False,,725.0,703
7,891,16858,2415.0,1330.0,False,,724.0,703
8,895,16197,2397.5,1277.5,False,,725.0,703
9,943,14657,2397.5,1155.0,False,,727.0,703
10,947,15318,2415.0,1207.5,False,,726.0,703
11,955,14438,2415.0,1137.5,False,,727.0,703
