,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,649,3438,2415.0,262.5,False,,98.0,767
1,657,2572,2660.0,192.5,False,,150.0,767
2,665,1917,2747.5,140.0,False,,168.0,767
3,809,13118,2415.0,1032.5,False,,85.0,767
4,825,13117,2397.5,1032.5,False,,85.0,767
5,829,11577,2397.5,910.0,False,,87.0,767
6,833,3217,2397.5,245.0,False,,98.0,767
7,873,1697,2747.5,122.5,False,,168.0,767
8,885,1916,2730.0,140.0,False,,168.0,767
9,925,3218,2415.0,245.0,False,,98.0,767
10,1001,11578,2415.0,910.0,False,,87.0,767
11,1017,3437,2397.5,262.5,False,,98.0,767
12,1021,2573,2677.5,192.5,True,17.0,150.0,767
