,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,899,21453,1977.5,1697.5,False,,803.0,1023
1,903,22114,1995.0,1750.0,False,,802.0,1023
2,907,22994,1995.0,1820.0,False,,801.0,1023
3,926,23653,1977.5,1872.5,False,,800.0,1023
4,927,21454,1995.0,1697.5,False,,803.0,1023
5,931,22334,1995.0,1767.5,False,,802.0,1023
6,995,22993,1977.5,1820.0,True,31.0,801.0,1023
7,1003,22113,1977.5,1750.0,False,,802.0,1023
8,1007,22774,1995.0,1802.5,False,,801.0,1023
9,1010,24314,1995.0,1925.0,False,,799.0,1023
10,1011,23654,1995.0,1872.5,False,,800.0,1023
11,1015,24534,1995.0,1942.5,False,,799.0,1023
12,1022,21234,1995.0,1680.0,False,,803.0,1023
