,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,601,8081,2817.5,630.0,False,,177.0,156
1,621,10056,2730.0,787.5,False,,157.0,156
2,685,10057,2747.5,787.5,False,,157.0,156
3,701,10277,2747.5,805.0,False,,157.0,156
4,709,7861,2817.5,612.5,False,,177.0,156
5,713,7862,2835.0,612.5,True,19.0,177.0,156
6,773,5633,2327.5,437.5,False,,78.0,156
7,825,9377,2397.5,735.0,False,,90.0,156
8,865,5413,2327.5,420.0,False,,78.0,156
9,869,9378,2415.0,735.0,False,,90.0,156
10,877,5632,2310.0,437.5,False,,78.0,156
11,896,10917,2397.5,857.5,False,,88.0,156
12,912,5634,2345.0,437.5,False,,78.0,156
