,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,77,5913,3377.5,455.0,False,,266.0,1023
1,205,5473,3377.5,420.0,False,,266.0,1023
2,305,5692,3360.0,437.5,False,,266.0,1023
3,385,4372,3360.0,332.5,False,,268.0,1023
4,393,3273,3377.5,245.0,False,,269.0,1023
5,397,4153,3377.5,315.0,False,,268.0,1023
6,473,3933,3377.5,297.5,False,,268.0,1023
7,513,3492,3360.0,262.5,False,,269.0,1023
8,525,4152,3360.0,315.0,False,,268.0,1023
9,529,3272,3360.0,245.0,False,,269.0,1023
10,533,2830,3325.0,210.0,False,,263.0,1023
11,537,2610,3325.0,192.5,False,,263.0,1023
12,541,1070,3325.0,70.0,False,,265.0,1023
13,545,1069,3307.5,70.0,False,,265.0,1023
14,557,3493,3377.5,262.5,False,,269.0,1023
15,565,4373,3377.5,332.5,False,,268.0,1023
16,577,1290,3325.0,87.5,False,,265.0,1023
17,605,5693,3377.5,437.5,False,,266.0,1023
18,725,2609,3307.5,192.5,False,,263.0,1023
19,757,5472,3360.0,420.0,True,20.0,266.0,1023
