,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,74,16766,805.0,1330.0,False,,1412.0,703
1,102,17646,805.0,1400.0,False,,1411.0,703
2,526,25130,875.0,1995.0,False,,1414.0,703
3,530,26010,875.0,2065.0,False,,1413.0,703
4,538,24911,892.5,1977.5,False,,1414.0,703
5,542,25791,892.5,2047.5,False,,1413.0,703
6,578,17427,822.5,1382.5,False,,1411.0,703
7,638,16767,822.5,1330.0,True,12.0,1412.0,703
8,650,25131,892.5,1995.0,False,,1414.0,703
9,702,18306,805.0,1452.5,False,,1410.0,703
10,734,25790,875.0,2047.5,False,,1413.0,703
11,738,24910,875.0,1977.5,False,,1414.0,703
12,742,17426,805.0,1382.5,False,,1411.0,703
