,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,128,3524,70.0,280.0,False,,1120.0,767
1,144,4404,70.0,350.0,False,,1123.0,767
2,152,4403,52.5,350.0,False,,1123.0,767
3,216,3523,52.5,280.0,False,,1120.0,767
4,220,3527,122.5,280.0,False,,1121.0,767
5,224,3531,192.5,280.0,False,,1122.0,767
6,244,4184,70.0,332.5,False,,1123.0,767
7,260,3747,122.5,297.5,False,,1121.0,767
8,272,3090,175.0,245.0,False,,1119.0,767
9,276,2870,175.0,227.5,False,,1119.0,767
10,284,2871,192.5,227.5,False,,1119.0,767
11,380,3528,140.0,280.0,True,4.0,1121.0,767
12,460,3091,192.5,245.0,False,,1119.0,767
13,468,3530,175.0,280.0,False,,1122.0,767
14,508,4183,52.5,332.5,False,,1123.0,767
15,512,3748,140.0,297.5,False,,1121.0,767
16,524,3310,175.0,262.5,False,,1119.0,767
