,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,677,17523,2502.5,1382.5,False,,706.0,1023
1,725,14663,2502.5,1155.0,False,,710.0,1023
2,807,17522,2485.0,1382.5,False,,706.0,1023
3,811,15323,2502.5,1207.5,False,,709.0,1023
4,835,16863,2502.5,1330.0,False,,707.0,1023
5,843,17743,2502.5,1400.0,False,,706.0,1023
6,847,17082,2485.0,1347.5,False,,707.0,1023
7,851,16202,2485.0,1277.5,False,,708.0,1023
8,859,17742,2485.0,1400.0,False,,706.0,1023
9,863,16862,2485.0,1330.0,False,,707.0,1023
10,895,16203,2502.5,1277.5,False,,708.0,1023
11,927,14443,2502.5,1137.5,False,,710.0,1023
12,937,15982,2485.0,1260.0,False,,708.0,1023
13,979,15983,2502.5,1260.0,True,31.0,708.0,1023
