,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,809,13778,2415.0,1085.0,False,,728.0,1023
1,847,25873,2327.5,2047.5,False,,729.0,1023
2,853,14658,2415.0,1155.0,False,,727.0,1023
3,857,15978,2415.0,1260.0,False,,725.0,1023
4,879,16198,2415.0,1277.5,False,,725.0,1023
5,883,26093,2327.5,2065.0,False,,729.0,1023
6,895,16197,2397.5,1277.5,False,,725.0,1023
7,938,15538,2415.0,1225.0,False,,726.0,1023
8,943,14657,2397.5,1155.0,True,31.0,727.0,1023
9,947,15318,2415.0,1207.5,False,,726.0,1023
10,955,14438,2415.0,1137.5,False,,727.0,1023
