,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,522,20519,1032.5,1627.5,False,,1448.0,703
1,566,19639,1032.5,1557.5,False,,1449.0,703
2,594,19199,1032.5,1522.5,True,12.0,1450.0,703
3,622,18980,1050.0,1505.0,False,,1450.0,703
4,650,18979,1032.5,1505.0,False,,1450.0,703
5,698,19859,1032.5,1575.0,False,,1449.0,703
6,706,20739,1032.5,1645.0,False,,1448.0,703
7,742,17440,1050.0,1382.5,False,,1452.0,703
8,758,17439,1032.5,1382.5,False,,1452.0,703
9,766,18319,1032.5,1452.5,False,,1451.0,703
