,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,77,5913,3377.5,455.0,False,,266.0,156
1,161,5909,3307.5,455.0,False,,259.0,156
2,205,5692,3360.0,437.5,False,,266.0,156
3,213,5690,3325.0,437.5,False,,259.0,156
4,321,5469,3307.5,420.0,False,,259.0,156
5,353,5473,3377.5,420.0,False,,266.0,156
6,429,5693,3377.5,437.5,False,,266.0,156
7,457,4370,3325.0,332.5,False,,261.0,156
8,533,2830,3325.0,210.0,False,,263.0,156
9,537,2610,3325.0,192.5,False,,263.0,156
10,541,1070,3325.0,70.0,False,,265.0,156
11,545,1069,3307.5,70.0,False,,265.0,156
12,553,3929,3307.5,297.5,False,,261.0,156
13,569,4150,3325.0,315.0,False,,261.0,156
14,577,1290,3325.0,87.5,False,,265.0,156
15,633,5689,3307.5,437.5,False,,259.0,156
16,725,2609,3307.5,192.5,True,19.0,263.0,156
17,745,5910,3325.0,455.0,False,,259.0,156
18,757,5472,3360.0,420.0,False,,266.0,156
