,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,571,22830,2975.0,1802.5,False,,603.0,0
1,575,24590,2975.0,1942.5,False,,601.0,0
2,579,23710,2975.0,1872.5,False,,602.0,0
3,655,24371,2992.5,1925.0,False,,601.0,0
4,695,23930,2975.0,1890.0,False,,602.0,0
5,703,22831,2992.5,1802.5,False,,603.0,0
6,707,23711,2992.5,1872.5,False,,602.0,0
7,723,22170,2975.0,1750.0,False,,604.0,0
8,727,23050,2975.0,1820.0,True,29.0,603.0,0
9,731,21290,2975.0,1680.0,False,,605.0,0
10,747,21510,2975.0,1697.5,False,,605.0,0
11,751,22171,2992.5,1750.0,False,,604.0,0
12,799,22390,2975.0,1767.5,False,,604.0,0
13,807,24370,2975.0,1925.0,False,,601.0,0
