,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,7,18471,3692.5,1452.5,False,,464.0,1023
1,27,18254,3745.0,1435.0,False,,465.0,1023
2,39,18473,3727.5,1452.5,False,,465.0,1023
3,43,18477,3797.5,1452.5,True,24.0,466.0,1023
4,51,18251,3692.5,1435.0,False,,464.0,1023
5,67,19330,3325.0,1522.5,False,,467.0,1023
6,75,18250,3675.0,1435.0,False,,464.0,1023
7,159,18253,3727.5,1435.0,False,,465.0,1023
8,167,18257,3797.5,1435.0,False,,466.0,1023
9,243,18474,3745.0,1452.5,False,,465.0,1023
10,247,18470,3675.0,1452.5,False,,464.0,1023
11,251,18478,3815.0,1452.5,False,,466.0,1023
12,571,19113,3377.5,1505.0,False,,468.0,1023
13,599,19109,3307.5,1505.0,False,,467.0,1023
14,627,19114,3395.0,1505.0,False,,468.0,1023
15,703,19329,3307.5,1522.5,False,,467.0,1023
16,731,19333,3377.5,1522.5,False,,468.0,1023
17,767,19110,3325.0,1505.0,False,,467.0,1023
