,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,642,17678,1365.0,1400.0,False,,1520.0,695
1,674,19659,1382.5,1557.5,False,,1517.0,695
2,682,19658,1365.0,1557.5,False,,1517.0,695
3,726,19878,1365.0,1575.0,False,,1517.0,695
4,770,18339,1382.5,1452.5,False,,1519.0,695
5,798,16798,1365.0,1330.0,False,,1521.0,695
6,810,19218,1365.0,1522.5,False,,1518.0,695
7,858,18338,1365.0,1452.5,True,14.0,1519.0,695
8,866,17458,1365.0,1382.5,False,,1520.0,695
9,1010,18999,1382.5,1505.0,False,,1518.0,695
