,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,772,1852,1610.0,140.0,False,,880.0,383
1,776,4052,1610.0,315.0,False,,877.0,383
2,780,972,1610.0,70.0,False,,881.0,383
3,784,1633,1627.5,122.5,False,,880.0,383
4,836,3173,1627.5,245.0,True,0.0,878.0,383
5,840,1632,1610.0,122.5,False,,880.0,383
6,884,3393,1627.5,262.5,False,,878.0,383
7,896,4712,1610.0,367.5,False,,876.0,383
8,905,1853,1627.5,140.0,False,,880.0,383
9,972,4053,1627.5,315.0,False,,877.0,383
10,992,3172,1610.0,245.0,False,,878.0,383
11,996,4713,1627.5,367.5,False,,876.0,383
12,1000,3833,1627.5,297.5,False,,877.0,383
